mi,di,type
12,113,3
12,113,4
12,114,4
12,118,4
12,124,2
12,126,2
12,126,3
12,126,4
12,131,4
12,147,3
12,147,4
12,169,3
12,169,4
12,194,2
12,196,4
12,200,4
12,202,2
12,202,4
12,204,0
12,205,3
12,219,2
12,232,3
12,232,4
12,239,2
12,242,3
12,242,4
12,256,3
12,256,4
12,261,3
12,261,4
13,1,2
13,6,3
13,7,3
13,7,4
13,9,2
13,13,3
13,21,2
13,21,3
13,28,2
13,28,3
13,28,4
13,31,2
13,31,3
13,33,2
13,33,4
13,35,4
13,38,3
13,46,2
13,46,0
13,46,3
13,46,4
13,49,2
13,50,4
13,53,0
13,67,3
13,73,4
13,76,3
13,76,4
13,79,2
13,82,2
13,92,3
13,92,4
13,93,4
13,97,3
13,97,4
13,102,2
13,102,3
13,107,3
13,113,4
13,143,3
13,152,3
13,155,2
13,155,3
13,160,2
13,169,3
13,169,4
13,191,3
13,192,2
13,193,4
13,205,3
13,206,3
13,216,0
13,216,3
13,217,0
13,217,4
13,218,3
13,218,4
13,222,4
13,232,0
13,232,3
13,232,4
13,233,4
13,256,3
13,256,4
13,261,2
13,261,3
13,261,4
14,8,4
14,31,0
14,31,3
14,46,1
14,46,0
14,46,3
14,49,0
14,49,3
14,53,3
14,75,0
14,97,4
14,102,0
14,102,3
14,107,2
14,113,4
14,117,1
14,169,0
14,169,4
14,172,4
14,178,2
14,182,4
14,205,3
14,206,0
14,206,3
14,218,0
14,232,3
14,261,3
15,8,4
15,31,0
15,31,3
15,46,3
15,49,0
15,49,3
15,53,3
15,97,4
15,102,3
15,102,4
15,107,2
15,113,4
15,117,1
15,152,2
15,169,0
15,172,4
15,178,2
15,182,4
15,205,3
15,206,0
15,206,3
15,218,0
15,232,3
15,261,3
16,5,4
16,13,3
16,31,2
16,31,4
16,76,3
16,92,3
16,102,4
16,153,2
16,169,3
16,169,4
16,192,2
16,204,3
16,206,4
16,229,2
17,5,4
17,13,3
17,31,2
17,31,0
17,31,4
17,76,3
17,92,3
17,102,4
17,153,2
17,169,3
17,169,4
17,186,0
17,192,2
17,204,3
17,206,4
17,217,0
17,229,2
18,31,2
18,76,3
18,92,3
18,169,3
18,229,2
19,31,2
19,76,3
19,92,3
19,169,3
19,229,2
20,5,4
20,6,3
20,7,3
20,17,2
20,20,3
20,20,4
20,23,4
20,31,3
20,31,4
20,35,0
20,36,3
20,43,3
20,43,4
20,46,3
20,46,4
20,49,2
20,52,4
20,53,2
20,53,4
20,59,3
20,61,3
20,65,2
20,68,4
20,70,4
20,75,2
20,75,3
20,75,4
20,76,2
20,76,3
20,76,4
20,80,2
20,85,3
20,102,2
20,102,0
20,102,3
20,102,4
20,103,4
20,107,2
20,107,3
20,107,4
20,108,3
20,108,4
20,132,4
20,146,3
20,169,3
20,169,4
20,175,3
20,185,4
20,186,4
20,202,2
20,206,2
20,206,1
20,206,3
20,206,4
20,216,0
20,217,3
20,217,4
20,218,2
20,218,4
20,229,4
20,232,2
20,232,3
20,232,4
20,233,4
20,240,4
20,242,3
20,243,3
20,254,2
20,257,4
20,262,3
21,4,3
21,13,3
21,21,0
21,23,3
21,23,4
21,26,3
21,28,3
21,28,4
21,31,2
21,31,0
21,31,3
21,31,4
21,33,4
21,34,4
21,36,0
21,36,3
21,38,4
21,41,3
21,45,4
21,46,2
21,46,1
21,46,0
21,46,3
21,46,4
21,48,3
21,53,2
21,53,0
21,53,4
21,61,3
21,65,3
21,72,4
21,75,4
21,76,3
21,76,4
21,94,2
21,95,2
21,96,2
21,97,4
21,98,4
21,102,2
21,102,3
21,102,4
21,103,3
21,103,4
21,108,3
21,108,4
21,114,2
21,114,4
21,116,3
21,117,0
21,119,4
21,122,2
21,147,3
21,148,3
21,153,3
21,175,3
21,185,4
21,186,2
21,186,0
21,206,2
21,206,1
21,206,3
21,206,4
21,210,4
21,216,4
21,217,2
21,217,0
21,217,4
21,218,3
21,221,4
21,225,0
21,227,1
21,229,3
21,232,3
21,232,4
21,241,3
21,256,3
21,257,4
21,262,3
22,3,3
22,6,0
22,6,3
22,7,3
22,13,2
22,13,3
22,13,4
22,20,4
22,21,3
22,31,2
22,31,0
22,31,3
22,31,4
22,36,1
22,37,3
22,38,3
22,45,2
22,45,3
22,46,2
22,46,3
22,46,4
22,48,0
22,49,3
22,64,3
22,72,4
22,75,4
22,76,3
22,80,2
22,81,2
22,83,2
22,83,4
22,88,2
22,102,2
22,102,3
22,102,4
22,103,3
22,108,3
22,108,4
22,113,4
22,114,4
22,118,3
22,120,2
22,149,3
22,157,2
22,157,4
22,169,4
22,186,2
22,187,4
22,191,3
22,192,2
22,202,3
22,204,3
22,206,3
22,216,3
22,217,4
22,218,2
22,218,1
22,218,4
22,225,3
22,232,4
22,252,3
22,261,0
23,7,3
23,13,4
23,21,1
23,21,3
23,21,4
23,28,1
23,31,3
23,31,4
23,38,4
23,46,3
23,46,4
23,47,4
23,49,2
23,49,3
23,49,4
23,59,4
23,70,2
23,77,3
23,93,4
23,95,4
23,102,3
23,107,3
23,107,4
23,108,3
23,125,3
23,132,4
23,147,4
23,149,2
23,155,2
23,155,0
23,169,3
23,170,3
23,177,3
23,185,4
23,206,0
23,206,3
23,206,4
23,210,3
23,218,3
23,218,4
23,219,4
23,232,4
23,261,3
23,261,4
24,5,4
24,7,3
24,21,1
24,21,3
24,28,3
24,31,2
24,31,3
24,31,4
24,45,3
24,46,2
24,46,3
24,46,4
24,47,3
24,49,2
24,49,3
24,49,4
24,53,4
24,55,4
24,59,4
24,64,0
24,68,2
24,75,3
24,76,2
24,76,0
24,76,4
24,77,3
24,92,0
24,93,3
24,93,4
24,95,4
24,97,4
24,100,3
24,102,1
24,102,3
24,107,3
24,107,4
24,108,4
24,113,3
24,114,4
24,123,2
24,136,3
24,149,2
24,167,4
24,169,3
24,169,4
24,185,4
24,186,2
24,202,0
24,205,3
24,206,2
24,206,0
24,206,3
24,206,4
24,210,3
24,212,4
24,216,3
24,217,4
24,218,0
24,218,4
24,224,4
24,241,4
24,251,1
24,256,4
24,261,4
25,31,3
25,43,3
25,46,0
25,49,3
25,51,3
25,51,4
25,84,3
25,102,3
25,102,4
25,109,0
25,189,2
25,217,0
25,232,4
26,1,2
26,2,3
26,4,2
26,10,3
26,18,4
26,19,3
26,21,3
26,28,0
26,31,2
26,31,3
26,43,3
26,46,2
26,46,1
26,46,0
26,46,3
26,46,4
26,48,3
26,53,3
26,53,4
26,55,3
26,65,0
26,65,3
26,70,2
26,71,2
26,71,0
26,71,3
26,73,2
26,76,2
26,76,4
26,78,2
26,80,3
26,81,3
26,83,4
26,100,2
26,100,4
26,102,2
26,102,3
26,102,4
26,105,1
26,114,3
26,117,2
26,117,0
26,117,3
26,117,4
26,118,2
26,118,0
26,118,3
26,118,4
26,119,4
26,122,3
26,122,4
26,124,2
26,124,0
26,132,3
26,140,4
26,142,2
26,149,3
26,155,3
26,162,3
26,162,4
26,163,2
26,163,3
26,164,4
26,166,2
26,167,2
26,167,0
26,167,3
26,172,3
26,175,2
26,186,4
26,189,2
26,191,3
26,197,2
26,206,3
26,212,2
26,212,4
26,213,0
26,218,2
26,218,4
26,227,2
26,232,3
26,234,0
26,243,2
26,247,2
26,247,3
26,252,2
26,252,0
26,252,3
26,252,4
26,256,4
27,3,4
27,46,4
27,99,4
27,108,3
27,169,4
27,170,2
27,236,4
27,261,1
27,261,4
28,31,3
28,45,3
28,46,4
28,49,3
28,226,4
29,46,3
29,48,3
29,122,3
29,131,3
29,177,2
30,0,2
30,13,3
30,20,4
30,31,0
30,31,3
30,46,1
30,46,3
30,53,1
30,65,1
30,76,1
30,76,3
30,92,1
30,102,1
30,102,3
30,103,1
30,107,4
30,108,0
30,108,3
30,155,2
30,169,4
30,172,4
30,185,3
30,200,1
30,210,0
30,218,1
30,232,3
30,241,4
30,243,3
30,243,4
30,247,4
30,252,2
31,0,2
31,13,3
31,20,4
31,31,0
31,31,3
31,46,1
31,46,3
31,49,1
31,53,1
31,65,1
31,76,1
31,76,3
31,92,1
31,102,1
31,102,3
31,103,1
31,107,4
31,108,0
31,108,3
31,169,4
31,185,3
31,200,1
31,210,0
31,218,1
31,232,3
31,241,4
31,243,3
31,243,4
31,247,4
31,252,2
32,0,2
32,13,3
32,20,4
32,31,0
32,31,3
32,46,1
32,46,3
32,49,1
32,53,1
32,76,1
32,92,1
32,102,1
32,102,3
32,103,1
32,107,4
32,108,0
32,169,4
32,185,3
32,200,1
32,210,0
32,218,1
32,232,3
32,241,4
32,243,3
32,243,4
32,252,2
33,8,4
33,10,3
33,31,2
33,36,4
33,38,4
33,46,3
33,46,4
33,49,3
33,76,2
33,76,3
33,76,4
33,97,2
33,114,2
33,132,3
33,155,2
33,186,2
33,210,4
33,218,2
33,218,4
33,234,4
33,235,4
34,8,4
34,107,4
34,216,3
34,218,3
34,232,3
35,36,1
35,49,3
35,143,3
35,169,1
35,169,3
36,1,2
36,31,0
36,31,3
36,31,4
36,34,4
36,36,3
36,38,3
36,45,3
36,46,2
36,46,0
36,46,3
36,46,4
36,48,3
36,48,4
36,49,2
36,49,3
36,49,4
36,50,3
36,52,4
36,70,0
36,75,0
36,76,1
36,79,3
36,93,4
36,102,0
36,102,3
36,102,4
36,108,3
36,113,4
36,114,2
36,114,4
36,117,3
36,119,4
36,121,4
36,129,3
36,131,3
36,149,2
36,149,3
36,155,3
36,163,2
36,169,2
36,169,3
36,169,4
36,170,2
36,170,4
36,172,4
36,177,4
36,186,2
36,186,3
36,192,2
36,200,0
36,206,3
36,212,4
36,216,3
36,217,0
36,218,3
36,236,4
36,238,4
36,239,3
36,239,4
36,241,0
36,241,4
36,243,2
36,253,2
36,253,4
37,8,4
37,13,3
37,22,4
37,31,2
37,31,1
37,31,0
37,31,3
37,31,4
37,33,4
37,35,4
37,46,1
37,46,0
37,46,3
37,46,4
37,49,2
37,50,4
37,92,3
37,93,4
37,107,3
37,108,4
37,113,3
37,113,4
37,115,3
37,122,2
37,123,3
37,135,2
37,147,4
37,149,3
37,150,0
37,150,3
37,153,4
37,154,2
37,155,0
37,155,3
37,159,0
37,160,2
37,160,3
37,161,4
37,169,0
37,169,4
37,182,3
37,185,4
37,186,3
37,186,4
37,200,2
37,203,4
37,204,4
37,206,4
37,216,3
37,217,2
37,217,0
37,217,3
37,217,4
37,218,4
37,229,3
37,231,4
37,232,0
37,232,3
37,233,3
37,233,4
37,236,2
37,254,4
37,256,4
37,261,0
37,261,3
37,261,4
38,8,4
38,13,3
38,22,4
38,31,2
38,31,3
38,31,4
38,33,4
38,46,1
38,46,0
38,46,3
38,46,4
38,49,2
38,50,4
38,76,4
38,87,4
38,92,3
38,93,4
38,107,0
38,107,3
38,108,3
38,113,3
38,113,4
38,115,3
38,122,2
38,123,3
38,135,2
38,147,4
38,149,3
38,150,3
38,153,4
38,154,2
38,160,2
38,160,3
38,161,4
38,182,3
38,185,4
38,186,3
38,186,4
38,203,4
38,204,4
38,206,4
38,216,3
38,217,2
38,217,3
38,218,4
38,231,4
38,232,1
38,232,0
38,232,3
38,233,3
38,233,4
38,236,2
38,237,4
38,254,4
38,256,4
38,261,3
38,261,4
39,4,4
39,11,4
39,15,2
39,15,4
39,19,0
39,19,4
39,21,2
39,21,0
39,21,3
39,21,4
39,28,3
39,28,4
39,29,2
39,31,3
39,31,4
39,33,4
39,37,4
39,38,3
39,38,4
39,43,3
39,45,3
39,46,2
39,46,1
39,46,0
39,46,3
39,46,4
39,49,2
39,49,1
39,49,0
39,49,3
39,49,4
39,53,2
39,53,3
39,53,4
39,54,3
39,58,4
39,61,2
39,61,3
39,65,4
39,67,3
39,72,2
39,73,4
39,74,3
39,75,3
39,75,4
39,76,1
39,76,3
39,76,4
39,78,2
39,78,4
39,80,2
39,81,2
39,81,3
39,83,2
39,85,3
39,89,2
39,91,4
39,93,0
39,93,3
39,93,4
39,97,4
39,102,3
39,102,4
39,103,3
39,103,4
39,107,4
39,108,3
39,108,4
39,114,2
39,114,0
39,114,4
39,118,2
39,118,4
39,124,2
39,128,3
39,128,4
39,139,4
39,140,3
39,144,2
39,145,3
39,149,2
39,150,2
39,151,2
39,152,3
39,155,2
39,157,3
39,159,4
39,160,0
39,162,3
39,167,3
39,169,2
39,169,4
39,172,4
39,177,4
39,185,4
39,186,3
39,191,2
39,192,2
39,201,1
39,202,2
39,202,0
39,202,4
39,206,1
39,206,3
39,206,4
39,212,2
39,212,3
39,216,3
39,216,4
39,217,4
39,218,2
39,218,0
39,218,3
39,219,2
39,219,3
39,223,2
39,226,3
39,226,4
39,229,2
39,229,4
39,231,4
39,232,0
39,232,4
39,243,1
39,243,3
39,250,0
39,252,4
39,254,2
39,254,1
39,254,3
39,256,0
39,256,4
39,258,4
39,261,4
39,262,2
39,262,4
40,6,3
40,21,2
40,21,3
40,28,3
40,31,2
40,31,3
40,31,4
40,36,2
40,36,1
40,38,2
40,46,2
40,46,3
40,49,4
40,75,1
40,75,4
40,76,4
40,102,4
40,107,3
40,131,3
40,145,3
40,155,2
40,155,3
40,169,1
40,169,3
40,170,4
40,174,3
40,177,4
40,185,4
40,193,4
40,206,3
40,212,0
40,214,3
40,216,1
40,216,3
40,217,4
40,232,1
40,232,4
40,256,2
40,256,4
40,261,1
41,46,3
41,49,3
41,51,3
41,83,3
41,102,3
41,113,4
41,217,3
41,218,3
42,31,3
42,46,3
42,46,4
42,82,2
42,107,4
42,117,2
42,138,2
42,172,3
43,13,4
43,20,4
43,31,3
43,102,4
43,107,2
43,107,4
43,108,3
43,135,2
43,175,2
43,191,4
43,210,3
43,217,3
43,229,4
44,13,4
44,31,3
44,46,2
44,75,4
44,102,4
44,107,2
44,107,4
44,108,3
44,135,2
44,160,0
44,169,2
44,169,4
44,175,2
44,191,4
44,210,3
44,217,3
44,218,4
44,229,4
45,30,4
45,31,4
45,46,1
45,46,3
45,46,4
45,102,2
45,102,3
45,102,4
45,107,3
45,169,3
45,177,2
45,189,2
45,246,4
45,256,1
46,30,4
46,31,1
46,31,4
46,46,1
46,46,3
46,46,4
46,53,1
46,97,1
46,102,2
46,102,1
46,102,4
46,108,1
46,108,3
46,114,4
46,169,1
46,176,4
46,177,2
46,189,2
46,217,1
46,246,4
46,256,1
47,45,3
47,46,3
47,51,3
47,76,3
47,169,3
48,36,4
48,46,3
48,60,4
48,76,0
48,102,3
48,210,0
49,10,3
49,28,4
49,31,2
49,31,3
49,33,4
49,36,4
49,38,3
49,46,3
49,46,4
49,49,3
49,49,4
49,51,3
49,51,4
49,60,4
49,64,3
49,71,4
49,72,2
49,76,3
49,78,2
49,81,3
49,81,4
49,96,2
49,97,4
49,102,3
49,102,4
49,107,3
49,113,4
49,114,0
49,114,4
49,117,3
49,117,4
49,147,4
49,153,3
49,155,0
49,156,0
49,165,3
49,169,4
49,177,4
49,192,2
49,202,3
49,206,3
49,212,2
49,214,3
49,217,2
49,217,0
49,217,3
49,217,4
49,222,4
49,229,2
49,231,4
49,232,4
49,233,3
49,235,3
49,235,4
49,250,2
49,256,2
50,28,4
50,31,4
50,32,4
50,35,3
50,36,1
50,36,3
50,46,2
50,46,0
50,46,3
50,46,4
50,53,4
50,76,3
50,76,4
50,84,2
50,92,3
50,97,4
50,102,3
50,107,4
50,108,3
50,113,4
50,114,2
50,114,4
50,131,4
50,168,3
50,169,4
50,170,0
50,170,3
50,171,2
50,186,4
50,189,2
50,217,0
50,217,3
50,218,3
50,218,4
50,224,4
50,229,2
50,232,4
50,235,3
50,246,3
50,260,4
51,13,2
51,13,3
51,14,4
51,21,3
51,31,2
51,31,3
51,31,4
51,33,4
51,36,2
51,36,1
51,38,4
51,46,0
51,46,3
51,46,4
51,49,3
51,51,0
51,61,2
51,75,2
51,75,3
51,76,4
51,83,2
51,83,0
51,94,2
51,102,2
51,102,0
51,102,3
51,102,4
51,107,4
51,108,4
51,114,0
51,114,4
51,117,3
51,124,2
51,131,2
51,131,0
51,131,3
51,131,4
51,132,4
51,141,3
51,153,4
51,167,3
51,169,2
51,169,3
51,188,4
51,191,3
51,192,2
51,202,3
51,212,2
51,214,4
51,216,0
51,216,3
51,216,4
51,217,2
51,218,2
51,218,1
51,218,3
51,218,4
51,219,3
51,220,2
51,221,4
51,225,3
51,232,2
51,232,1
51,232,0
51,232,3
51,243,4
51,252,2
52,16,4
52,20,4
52,21,2
52,31,0
52,33,4
52,56,3
52,59,2
52,59,4
52,61,3
52,61,4
52,73,3
52,76,1
52,76,3
52,76,4
52,97,3
52,113,3
52,113,4
52,114,4
52,124,2
52,124,3
52,126,2
52,126,3
52,126,4
52,147,4
52,162,3
52,194,2
52,196,4
52,202,2
52,202,4
52,215,2
52,216,3
52,217,3
52,232,3
52,242,4
52,252,2
52,261,3
52,261,4
53,16,4
53,20,4
53,21,2
53,31,0
53,33,4
53,56,3
53,59,2
53,59,4
53,61,3
53,73,3
53,76,1
53,76,3
53,76,4
53,97,3
53,102,4
53,113,4
53,114,4
53,124,2
53,124,3
53,126,2
53,126,3
53,126,4
53,147,4
53,162,3
53,186,0
53,194,2
53,196,4
53,202,2
53,202,4
53,215,2
53,216,3
53,217,0
53,217,3
53,232,3
53,252,2
53,261,3
53,261,4
54,1,2
54,4,2
54,21,2
54,23,2
54,28,4
54,31,3
54,31,4
54,46,3
54,46,4
54,48,3
54,49,3
54,52,4
54,53,4
54,56,3
54,57,2
54,61,3
54,73,3
54,75,4
54,76,3
54,76,4
54,102,0
54,102,3
54,102,4
54,107,3
54,108,3
54,114,4
54,124,2
54,126,3
54,131,4
54,137,3
54,167,3
54,167,4
54,169,2
54,169,4
54,172,4
54,194,2
54,202,2
54,202,4
54,204,4
54,206,3
54,206,4
54,216,2
54,216,4
54,217,3
54,217,4
54,218,4
54,219,3
54,229,4
54,232,1
54,232,3
54,232,4
54,239,2
54,244,4
54,255,4
54,256,4
54,261,3
54,261,4
55,21,3
55,31,3
55,45,3
55,46,3
55,46,4
55,49,0
55,49,3
55,49,4
55,53,2
55,53,3
55,62,3
55,96,3
55,107,3
55,108,0
55,108,3
55,113,3
55,114,4
55,118,2
55,165,3
55,169,3
55,169,4
55,171,2
55,186,4
55,188,2
55,188,4
55,202,2
55,216,3
55,217,4
55,218,2
55,218,4
55,232,4
56,31,3
56,33,4
56,46,3
56,53,3
56,76,3
56,76,4
56,93,3
56,95,4
56,102,3
56,114,4
56,169,3
56,172,4
56,185,0
56,185,4
56,206,3
57,31,3
57,33,4
57,46,3
57,53,3
57,76,3
57,76,4
57,93,3
57,95,4
57,102,3
57,114,4
57,169,3
57,172,4
57,185,0
57,185,4
57,206,3
58,21,3
58,28,4
58,31,0
58,31,3
58,37,3
58,38,0
58,38,4
58,41,3
58,42,4
58,46,3
58,49,3
58,52,3
58,52,4
58,57,3
58,75,4
58,76,2
58,76,3
58,76,4
58,93,3
58,97,4
58,107,3
58,124,4
58,169,3
58,172,3
58,176,4
58,185,0
58,185,4
58,186,0
58,201,3
58,216,3
58,216,4
58,217,0
58,218,4
58,229,2
58,232,3
58,232,4
58,241,4
58,261,4
59,13,2
59,21,3
59,37,4
59,45,3
59,46,3
59,108,3
59,114,4
59,118,2
59,169,4
59,193,4
59,217,3
59,231,4
60,13,2
60,13,3
60,20,3
60,20,4
60,28,1
60,28,4
60,31,3
60,33,4
60,36,1
60,45,0
60,45,3
60,46,0
60,46,3
60,46,4
60,49,1
60,49,3
60,50,4
60,75,4
60,76,3
60,76,4
60,91,4
60,102,1
60,102,0
60,102,3
60,104,3
60,107,1
60,107,0
60,107,3
60,107,4
60,108,3
60,108,4
60,148,4
60,169,1
60,169,3
60,186,0
60,186,3
60,186,4
60,187,4
60,190,3
60,206,1
60,206,3
60,210,1
60,210,3
60,216,3
60,217,3
60,236,2
61,20,4
61,46,3
61,53,0
61,53,3
61,154,3
61,169,3
61,172,4
61,186,4
61,205,3
61,206,3
61,210,0
61,217,3
61,256,4
62,20,4
62,46,3
62,53,0
62,53,3
62,154,3
62,169,3
62,172,4
62,186,4
62,205,3
62,206,3
62,210,0
62,217,3
62,256,4
63,13,3
63,28,0
63,28,4
63,31,2
63,31,3
63,31,4
63,33,4
63,34,4
63,35,3
63,36,3
63,36,4
63,38,0
63,46,2
63,46,1
63,46,3
63,46,4
63,49,1
63,52,4
63,53,4
63,76,2
63,76,3
63,76,4
63,88,2
63,96,3
63,102,1
63,102,3
