mi,di,type
59,131,0
59,132,0
59,150,0
59,157,0
60,1,0
60,2,0
60,4,0
60,8,0
60,13,0
60,27,0
60,105,0
60,131,0
60,132,0
62,1,0
62,2,0
62,4,0
62,8,0
62,13,0
62,27,0
62,105,0
62,131,0
62,132,0
63,1,0
63,4,0
63,8,0
63,13,0
63,131,0
65,2,0
65,8,0
65,13,0
65,27,0
65,48,0
65,62,0
65,89,0
65,107,0
66,3,0
66,4,0
66,5,0
66,8,0
66,18,0
66,27,0
66,33,0
66,45,0
66,46,0
66,53,0
66,62,0
66,63,0
66,64,0
66,65,0
66,107,0
66,137,0
66,174,0
66,194,0
67,15,0
68,2,0
68,4,0
68,13,0
68,27,0
69,5,0
69,46,0
69,71,0
69,113,0
69,137,0
69,189,0
69,192,0
70,2,0
70,13,0
70,27,0
70,45,0
71,2,0
71,13,0
71,27,0
73,93,0
76,2,0
76,4,0
76,5,0
76,60,0
76,64,0
78,2,0
78,5,0
82,8,0
83,4,0
84,40,0
85,8,0
87,5,0
87,10,0
87,42,0
87,62,0
91,13,0
91,31,0
92,5,0
92,64,0
92,131,0
94,64,0
94,76,0
96,78,0
97,2,0
97,4,0
97,5,0
97,8,0
97,10,0
97,11,0
97,12,0
97,13,0
97,16,0
97,18,0
97,23,0
97,24,0
97,27,0
97,28,0
97,35,0
97,40,0
97,42,0
97,45,0
97,46,0
97,47,0
97,51,0
97,60,0
97,62,0
97,66,0
97,72,0
97,73,0
97,74,0
97,76,0
97,79,0
97,81,0
97,83,0
97,85,0
97,88,0
97,89,0
97,99,0
97,101,0
97,107,0
97,111,0
97,113,0
97,123,0
97,125,0
97,126,0
97,146,0
97,180,0
97,182,0
97,183,0
97,184,0
98,2,0
98,13,0
98,27,0
98,45,0
98,93,0
99,2,0
99,13,0
99,27,0
99,33,0
99,89,0
99,139,0
100,2,0
100,7,0
100,8,0
100,13,0
100,18,0
100,23,0
100,27,0
100,79,0
100,107,0
101,2,0
101,42,0
103,2,0
103,8,0
103,13,0
103,27,0
103,33,0
103,53,0
103,71,0
103,93,0
103,96,0
103,105,0
103,161,0
112,5,0
112,8,0
113,13,0
115,2,0
115,4,0
115,5,0
115,8,0
115,11,0
115,15,0
115,23,0
115,25,0
115,27,0
115,31,0
115,35,0
115,40,0
115,46,0
115,61,0
115,63,0
115,64,0
115,65,0
115,67,0
115,80,0
115,82,0
115,85,0
115,88,0
115,90,0
115,105,0
115,131,0
115,159,0
115,164,0
115,169,0
115,174,0
115,190,0
118,2,0
118,8,0
118,13,0
118,27,0
118,45,0
119,1,0
119,2,0
119,4,0
119,8,0
119,30,0
120,2,0
120,4,0
120,30,0
121,2,0
121,4,0
121,5,0
121,18,0
121,28,0
121,40,0
121,45,0
121,63,0
121,79,0
121,89,0
121,147,0
122,45,0
123,0,0
123,15,0
123,78,0
124,1,0
124,19,0
124,107,0
124,128,0
125,105,0
125,107,0
125,122,0
126,5,0
127,5,0
128,4,0
128,79,0
130,2,0
130,4,0
131,4,0
132,2,0
132,8,0
132,13,0
132,27,0
133,8,0
133,96,0
134,1,0
134,5,0
134,18,0
134,19,0
134,27,0
134,45,0
134,89,0
134,93,0
134,107,0
136,2,0
136,13,0
136,27,0
137,8,0
137,13,0
137,18,0
137,45,0
137,105,0
138,105,0
139,2,0
139,4,0
139,10,0
139,13,0
139,139,0
139,159,0
143,5,0
143,33,0
143,193,0
144,27,0
144,30,0
144,35,0
144,45,0
144,82,0
144,158,0
145,2,0
145,8,0
145,13,0
145,27,0
145,42,0
146,2,0
146,8,0
146,42,0
154,5,0
155,64,0
156,197,0
157,10,0
158,16,0
158,45,0
158,79,0
158,96,0
159,96,0
159,180,0
161,3,0
161,4,0
161,8,0
161,15,0
161,90,0
161,150,0
163,2,0
163,8,0
163,13,0
163,27,0
164,2,0
164,13,0
164,27,0
165,2,0
165,5,0
165,9,0
165,13,0
165,27,0
166,13,0
167,35,0
167,45,0
169,96,0
170,2,0
170,31,0
170,82,0
170,93,0
170,176,0
171,34,0
171,86,0
171,122,0
173,2,0
173,3,0
173,13,0
173,15,0
173,27,0
173,48,0
173,54,0
173,65,0
173,100,0
173,105,0
173,150,0
174,105,0
175,157,0
175,170,0
178,2,0
178,6,0
178,93,0
178,105,0
178,150,0
180,8,0
181,48,0
181,64,0
184,13,0
184,28,0
184,35,0
184,45,0
184,90,0
184,105,0
184,107,0
185,8,0
185,63,0
187,82,0
187,137,0
187,184,0
188,5,0
188,9,0
188,31,0
188,45,0
188,46,0
188,60,0
188,82,0
188,161,0
189,5,0
189,60,0
189,131,0
190,62,0
190,64,0
191,2,0
191,13,0
191,27,0
192,1,0
192,2,0
192,5,0
192,10,0
192,31,0
192,45,0
192,61,0
192,139,0
192,140,0
193,23,0
194,35,0
194,54,0
194,79,0
194,105,0
194,157,0
195,3,0
195,35,0
195,45,0
195,61,0
195,103,0
195,105,0
195,107,0
195,159,0
196,8,0
196,9,0
196,18,0
196,46,0
196,79,0
196,174,0
197,8,0
197,18,0
197,64,0
197,82,0
198,5,0
198,157,0
199,107,0
200,13,0
200,39,0
200,40,0
200,46,0
200,82,0
200,96,0
200,191,0
201,2,0
201,13,0
201,27,0
201,127,0
201,139,0
202,2,0
202,8,0
202,45,0
203,8,0
203,13,0
203,62,0
203,70,0
205,8,0
205,40,0
205,58,0
205,65,0
205,79,0
205,118,0
205,187,0
206,3,0
206,8,0
206,15,0
206,23,0
206,161,0
207,131,0
208,5,0
208,8,0
208,15,0
208,16,0
208,18,0
208,54,0
208,79,0
208,86,0
208,105,0
208,125,0
208,174,0
208,182,0
209,5,0
209,118,0
209,197,0
210,5,0
211,45,0
211,64,0
214,3,0
215,60,0
215,93,0
216,8,0
216,28,0
216,31,0
216,45,0
216,105,0
216,159,0
217,9,0
217,31,0
217,34,0
217,40,0
217,46,0
217,64,0
218,2,0
218,4,0
218,8,0
218,13,0
218,25,0
218,27,0
218,79,0
221,35,0
222,4,0
223,2,0
223,30,0
223,62,0
223,91,0
224,8,0
225,2,0
225,13,0
225,16,0
225,27,0
226,150,0
226,152,0
227,36,0
228,153,0
229,2,0
229,4,0
229,8,0
229,53,0
229,98,0
229,118,0
230,4,0
230,8,0
230,105,0
231,64,0
231,94,0
231,105,0
231,189,0
232,139,0
233,48,0
235,2,0
235,105,0
236,2,0
236,105,0
236,132,0
237,2,0
237,105,0
237,132,0
241,139,0
245,8,0
247,5,0
247,15,0
247,45,0
247,64,0
247,65,0
248,4,0
248,5,0
248,8,0
248,16,0
248,18,0
248,27,0
248,45,0
248,54,0
248,73,0
248,79,0
248,86,0
248,153,0
248,174,0
248,182,0
249,9,0
249,46,0
251,46,0
254,18,0
254,45,0
254,85,0
254,107,0
254,163,0
256,2,0
256,4,0
256,5,0
256,8,0
256,18,0
256,45,0
256,56,0
256,82,0
256,102,0
256,105,0
256,123,0
256,125,0
257,2,0
257,13,0
257,27,0
258,2,0
258,13,0
258,27,0
259,131,0
259,176,0
262,4,0
262,5,0
263,107,0
266,8,0
266,27,0
266,35,0
269,2,0
269,8,0
269,31,0
269,60,0
269,81,0
269,88,0
269,114,0
269,181,0
270,60,0
270,105,0
273,2,0
273,13,0
273,27,0
273,64,0
274,2,0
274,51,0
275,2,0
275,11,0
275,45,0
275,93,0
281,0,0
281,2,0
281,45,0
281,132,0
281,139,0
282,2,0
282,4,0
282,5,0
282,8,0
282,31,0
282,45,0
282,46,0
282,60,0
282,62,0
282,67,0
282,72,0
282,76,0
282,79,0
282,81,0
282,82,0
282,89,0
282,107,0
282,123,0
282,147,0
282,183,0
283,13,0
286,0,0
286,8,0
286,13,0
286,75,0
286,82,0
286,100,0
286,117,0
286,156,0
286,157,0
286,161,0
288,64,0
292,13,0
293,170,0
298,157,0
299,4,0
299,15,0
299,19,0
299,42,0
299,56,0
300,107,0
302,35,0
302,60,0
302,63,0
302,105,0
302,189,0
302,199,0
305,5,0
306,2,0
306,5,0
306,8,0
306,58,0
307,76,0
311,2,0
311,13,0
311,27,0
311,157,0
313,8,0
313,13,0
313,26,0
315,2,0
315,13,0
315,45,0
315,139,0
316,2,0
322,131,0
323,5,0
327,28,0
327,31,0
330,48,0
330,180,0
331,2,0
331,4,0
331,5,0
331,8,0
331,10,0
331,18,0
331,46,0
331,60,0
331,62,0
331,76,0
331,79,0
331,81,0
331,82,0
331,175,0
331,183,0
334,27,0
336,96,0
336,139,0
338,5,0
338,8,0
338,30,0
338,45,0
338,48,0
338,62,0
338,79,0
338,85,0
338,131,0
338,184,0
339,0,0
340,47,0
343,4,0
343,5,0
345,48,0
345,180,0
346,73,0
347,2,0
347,13,0
347,27,0
348,2,0
349,8,0
351,48,0
351,180,0
353,2,0
353,8,0
353,45,0
353,54,0
353,79,0
353,96,0
353,118,0
356,5,0
356,27,0
357,2,0
357,30,0
358,5,0
359,157,0
361,2,0
361,13,0
361,27,0
364,8,0
367,131,0
371,18,0
371,82,0
371,175,0
371,196,0
381,28,0
381,105,0
383,2,0
383,13,0
383,27,0
383,105,0
383,107,0
384,96,0
386,42,0
388,8,0
394,2,0
394,4,0
394,5,0
394,8,0
394,93,0
394,115,0
395,5,0
397,2,0
397,4,0
397,56,0
397,64,0
397,79,0
397,88,0
398,0,0
398,2,0
398,4,0
398,5,0
398,8,0
398,11,0
398,28,0
398,42,0
398,45,0
398,46,0
398,56,0
398,60,0
398,62,0
398,64,0
398,76,0
398,79,0
398,81,0
398,82,0
398,85,0
398,88,0
398,89,0
398,114,0
398,118,0
398,132,0
398,147,0
398,181,0
398,183,0
399,2,0
399,64,0
399,174,0
400,2,0
400,64,0
400,174,0
401,2,0
401,64,0
401,174,0
402,105,0
405,40,0
407,35,0
407,42,0
408,5,0
409,42,0
410,16,0
0,0,1
0,15,1
2,2,1
3,13,1
3,45,1
3,96,1
3,178,1
4,8,1
5,4,1
5,8,1
5,45,1
5,103,1
6,2,1
6,4,1
7,23,1
7,82,1
7,175,1
8,2,1
8,8,1
9,8,1
9,45,1
10,23,1
11,5,1
11,8,1
12,5,1
12,15,1
12,121,1
15,15,1
16,118,1
17,8,1
17,134,1
19,2,1
24,8,1
25,8,1
25,159,1
26,8,1
27,8,1
28,36,1
28,47,1
28,64,1
28,102,1
28,110,1
30,0,1
30,15,1
31,0,1
32,5,1
34,5,1
34,83,1
34,89,1
36,1,1
36,4,1
36,42,1
36,45,1
36,105,1
36,107,1
39,5,1
40,5,1
41,2,1
41,4,1
41,5,1
41,8,1
41,45,1
41,83,1
41,86,1
41,89,1
41,93,1
41,107,1
42,2,1
43,5,1
43,8,1
43,23,1
43,83,1
43,89,1
43,107,1
43,131,1
45,2,1
49,2,1
49,5,1
49,91,1
54,4,1
55,8,1
56,45,1
56,88,1
57,2,1
57,8,1
57,45,1
57,107,1
58,5,1
59,2,1
59,5,1
59,15,1
59,121,1
60,5,1
60,15,1
60,121,1
62,5,1
62,15,1
62,64,1
62,121,1
63,5,1
65,2,1
65,8,1
65,139,1
66,0,1
66,1,1
66,2,1
66,5,1
66,6,1
66,13,1
66,18,1
66,30,1
66,41,1
66,42,1
66,45,1
66,65,1
66,88,1
69,5,1
69,42,1
70,35,1
71,13,1
77,5,1
78,5,1
82,8,1
86,134,1
87,2,1
87,5,1
87,13,1
87,157,1
88,85,1
91,65,1
91,67,1
91,124,1
92,5,1
92,65,1
92,118,1
95,8,1
95,35,1
96,0,1
96,13,1
96,15,1
96,23,1
96,47,1
97,45,1
97,110,1
98,2,1
98,5,1
98,8,1
98,83,1
98,89,1
99,8,1
99,65,1
100,8,1
100,66,1
101,13,1
101,30,1
101,107,1
103,0,1
103,156,1
107,45,1
113,8,1
113,107,1
115,2,1
115,5,1
115,30,1
115,45,1
115,51,1
115,110,1
115,159,1
116,15,1
116,36,1
116,47,1
118,2,1
119,8,1
119,79,1
120,79,1
121,8,1
121,30,1
123,0,1
123,4,1
123,13,1
123,15,1
123,23,1
123,47,1
125,42,1
132,2,1
132,5,1
132,91,1
134,45,1
134,79,1
134,128,1
141,47,1
143,2,1
143,4,1
143,8,1
143,28,1
143,45,1
143,88,1
143,107,1
144,2,1
144,8,1
144,15,1
144,27,1
144,36,1
144,42,1
144,47,1
144,107,1
144,156,1
144,176,1
145,2,1
146,2,1
147,45,1
149,8,1
149,15,1
149,107,1
156,45,1
157,27,1
157,64,1
159,8,1
161,8,1
161,110,1
162,2,1
164,178,1
168,105,1
170,93,1
173,5,1
173,27,1
173,107,1
173,178,1
184,0,1
187,8,1
188,161,1
191,2,1
191,13,1
191,18,1
191,42,1
191,47,1
191,168,1
192,8,1
193,110,1
194,45,1
194,107,1
194,139,1
195,0,1
195,5,1
195,107,1
195,157,1
200,2,1
200,27,1
200,45,1
200,177,1
201,8,1
201,66,1
202,8,1
203,13,1
203,107,1
204,2,1
204,8,1
205,8,1
208,0,1
208,2,1
208,3,1
208,5,1
208,6,1
208,8,1
208,13,1
208,18,1
208,30,1
208,39,1
208,42,1
208,45,1
208,88,1
208,107,1
208,179,1
214,15,1
216,30,1
216,45,1
216,107,1
217,161,1
218,8,1
218,66,1
223,91,1
225,2,1
230,4,1
230,35,1
230,64,1
231,137,1
233,131,1
235,8,1
235,131,1
236,15,1
236,121,1
237,15,1
237,121,1
243,105,1
247,65,1
248,0,1
248,2,1
248,5,1
248,6,1
248,13,1
248,18,1
248,30,1
248,39,1
248,42,1
248,83,1
248,88,1
248,179,1
251,5,1
251,83,1
251,89,1
252,42,1
254,4,1
266,4,1
266,35,1
266,82,1
266,89,1
266,107,1
266,174,1
267,42,1
267,168,1
268,18,1
268,42,1
268,47,1
270,8,1
270,45,1
271,175,1
274,105,1
275,45,1
281,2,1
284,8,1
284,10,1
285,2,1
285,4,1
285,8,1
285,10,1
285,13,1
285,18,1
285,64,1
285,88,1
286,168,1
292,65,1
293,64,1
297,8,1
299,45,1
305,118,1
316,174,1
320,5,1
326,15,1
327,42,1
327,83,1
327,107,1
331,2,1
331,5,1
331,35,1
331,42,1
331,131,1
334,5,1
334,83,1
334,89,1
336,2,1
336,42,1
336,105,1
338,64,1
341,131,1
348,175,1
349,175,1
354,2,1
354,4,1
354,15,1
354,128,1
367,0,1
367,5,1
367,107,1
376,85,1
381,5,1
381,27,1
386,2,1
398,8,1
399,5,1
399,8,1
399,18,1
399,19,1
399,30,1
399,65,1
399,83,1
399,89,1
400,5,1
400,8,1
400,18,1
400,19,1
400,30,1
400,65,1
400,83,1
400,89,1
401,5,1
401,8,1
401,18,1
401,19,1
401,30,1
401,83,1
401,89,1
407,2,1
409,2,1
0,0,2
0,2,2
0,3,2
0,6,2
0,7,2
0,24,2
0,28,2
0,33,2
0,45,2
0,47,2
0,64,2
0,67,2
0,71,2
0,74,2
0,113,2
0,169,2
1,0,2
1,2,2
1,3,2
1,5,2
1,8,2
1,27,2
1,31,2
1,36,2
1,47,2
1,64,2
1,73,2
1,81,2
1,83,2
1,93,2
1,95,2
1,107,2
1,110,2
1,118,2
1,127,2
1,144,2
1,163,2
2,1,2
2,2,2
2,5,2
2,8,2
2,9,2
2,12,2
2,14,2
2,15,2
2,24,2
2,28,2
2,40,2
2,48,2
2,63,2
2,74,2
2,75,2
2,101,2
3,1,2
3,2,2
3,4,2
3,5,2
3,8,2
3,9,2
3,13,2
3,14,2
3,23,2
3,27,2
3,28,2
3,30,2
3,31,2
3,35,2
3,40,2
3,48,2
3,50,2
3,51,2
3,58,2
3,59,2
3,60,2
3,75,2
3,80,2
3,96,2
3,114,2
3,136,2
4,0,2
4,2,2
4,3,2
4,6,2
4,8,2
4,13,2
4,14,2
4,15,2
4,16,2
4,20,2
4,22,2
4,24,2
4,25,2
4,28,2
4,30,2
4,31,2
4,33,2
4,40,2
4,41,2
4,43,2
4,45,2
4,46,2
4,51,2
4,60,2
4,62,2
4,63,2
4,66,2
4,67,2
4,75,2
4,79,2
4,90,2
4,96,2
4,99,2
4,101,2
4,102,2
4,111,2
4,112,2
4,118,2
4,119,2
4,137,2
4,144,2
4,171,2
5,0,2
5,2,2
5,5,2
5,8,2
5,9,2
5,15,2
5,23,2
5,28,2
5,31,2
5,41,2
5,53,2
5,56,2
5,73,2
5,77,2
5,81,2
5,85,2
5,92,2
5,93,2
5,116,2
5,127,2
5,134,2
5,172,2
6,0,2
6,2,2
6,5,2
6,8,2
6,9,2
6,16,2
6,18,2
6,23,2
6,33,2
6,53,2
6,63,2
6,73,2
6,75,2
6,85,2
6,107,2
6,127,2
6,134,2
7,2,2
7,3,2
7,5,2
7,8,2
7,25,2
7,27,2
8,2,2
8,13,2
8,19,2
8,115,2
8,153,2
9,2,2
9,13,2
9,115,2
9,153,2
10,3,2
10,8,2
10,15,2
10,21,2
10,73,2
11,3,2
11,4,2
11,5,2
11,8,2
11,15,2
11,18,2
11,23,2
11,28,2
11,30,2
11,31,2
11,33,2
11,39,2
11,40,2
11,41,2
11,45,2
11,46,2
11,51,2
11,53,2
11,56,2
11,60,2
11,62,2
11,63,2
11,64,2
11,71,2
11,73,2
11,75,2
11,87,2
11,95,2
11,107,2
11,129,2
11,133,2
11,136,2
11,137,2
11,150,2
11,166,2
12,2,2
12,3,2
12,4,2
12,5,2
12,8,2
12,12,2
12,16,2
12,23,2
12,27,2
12,29,2
12,36,2
12,40,2
12,41,2
12,46,2
12,47,2
12,48,2
12,60,2
12,63,2
12,67,2
12,71,2
12,90,2
12,103,2
12,121,2
12,130,2
12,150,2
12,153,2
13,2,2
13,4,2
13,13,2
13,18,2
13,19,2
13,20,2
14,2,2
14,4,2
14,18,2
14,19,2
14,20,2
15,2,2
15,4,2
15,6,2
15,13,2
15,18,2
15,19,2
15,20,2
16,2,2
16,3,2
16,4,2
16,13,2
16,15,2
16,18,2
16,19,2
16,23,2
16,31,2
16,44,2
16,45,2
16,46,2
16,47,2
16,56,2
16,58,2
16,62,2
16,67,2
16,100,2
17,2,2
17,4,2
17,6,2
17,18,2
17,19,2
17,43,2
17,45,2
17,47,2
17,75,2
17,79,2
17,162,2
18,4,2
18,6,2
18,18,2
18,19,2
18,27,2
18,30,2
18,35,2
18,68,2
18,113,2
19,4,2
19,8,2
19,10,2
19,13,2
19,18,2
19,19,2
19,20,2
19,23,2
19,40,2
19,54,2
19,62,2
19,75,2
19,119,2
20,4,2
20,18,2
20,19,2
21,4,2
21,18,2
21,19,2
22,1,2
22,2,2
22,4,2
22,5,2
22,18,2
22,19,2
22,46,2
22,51,2
22,55,2
22,64,2
22,81,2
22,82,2
22,86,2
22,166,2
23,4,2
23,5,2
23,18,2
23,19,2
23,27,2
23,31,2
23,73,2
23,75,2
23,107,2
24,0,2
24,2,2
24,3,2
24,6,2
24,15,2
24,19,2
24,27,2
24,36,2
24,41,2
24,47,2
24,95,2
25,0,2
25,5,2
25,6,2
25,15,2
25,67,2
26,0,2
26,6,2
26,15,2
26,19,2
27,6,2
27,15,2
27,19,2
27,30,2
28,0,2
28,1,2
28,2,2
28,3,2
28,4,2
28,5,2
28,8,2
28,10,2
28,12,2
28,14,2
28,15,2
28,24,2
28,26,2
28,27,2
28,28,2
28,29,2
28,30,2
28,31,2
28,33,2
28,36,2
28,37,2
28,40,2
28,41,2
28,46,2
28,51,2
28,55,2
28,57,2
28,58,2
28,60,2
28,67,2
28,75,2
28,81,2
28,88,2
28,90,2
28,96,2
28,101,2
28,103,2
28,107,2
28,110,2
28,114,2
28,129,2
28,130,2
28,131,2
28,137,2
28,138,2
28,139,2
28,142,2
28,144,2
28,150,2
28,166,2
28,168,2
28,170,2
28,171,2
29,5,2
29,6,2
29,7,2
29,8,2
29,27,2
29,28,2
29,50,2
29,51,2
29,64,2
29,73,2
29,87,2
29,95,2
30,0,2
30,2,2
30,6,2
30,7,2
30,8,2
30,14,2
30,19,2
30,24,2
30,37,2
30,47,2
30,56,2
30,67,2
30,158,2
31,2,2
31,7,2
31,8,2
31,14,2
31,19,2
31,24,2
31,37,2
31,53,2
31,56,2
31,158,2
32,0,2
32,3,2
32,4,2
32,8,2
32,23,2
32,27,2
32,28,2
32,31,2
32,70,2
32,75,2
32,111,2
32,119,2
33,8,2
33,47,2
33,63,2
33,75,2
33,119,2
34,9,2
34,17,2
34,34,2
34,40,2
34,46,2
34,53,2
34,60,2
34,78,2
35,9,2
35,17,2
35,34,2
35,40,2
35,46,2
35,53,2
35,60,2
35,78,2
36,2,2
36,8,2
36,10,2
36,15,2
36,23,2
36,107,2
36,135,2
37,2,2
37,10,2
37,13,2
37,41,2
37,60,2
37,61,2
37,63,2
37,75,2
37,87,2
37,113,2
38,2,2
38,8,2
38,10,2
38,18,2
38,28,2
38,43,2
38,46,2
38,59,2
38,60,2
38,62,2
38,68,2
38,74,2
38,127,2
38,160,2
38,167,2
39,9,2
39,23,2
39,34,2
39,40,2
39,46,2
39,58,2
39,78,2
39,86,2
40,9,2
40,23,2
40,34,2
40,40,2
40,46,2
40,58,2
40,78,2
40,86,2
41,0,2
41,2,2
41,4,2
41,8,2
41,11,2
41,15,2
41,45,2
41,47,2
41,55,2
41,67,2
41,75,2
41,105,2
41,157,2
42,2,2
42,4,2
42,11,2
42,68,2
42,119,2
43,4,2
43,11,2
43,41,2
44,0,2
44,8,2
44,12,2
44,14,2
44,15,2
44,18,2
44,20,2
44,22,2
44,24,2
44,27,2
44,28,2
44,30,2
44,36,2
44,40,2
44,46,2
44,51,2
44,55,2
44,63,2
44,65,2
44,79,2
44,87,2
44,104,2
44,109,2
44,117,2
44,129,2
44,146,2
45,0,2
45,2,2
45,5,2
45,8,2
45,10,2
45,14,2
45,15,2
45,18,2
45,23,2
45,27,2
45,30,2
45,31,2
45,34,2
45,35,2
45,36,2
45,40,2
45,45,2
45,47,2
45,53,2
45,58,2
45,60,2
45,63,2
45,65,2
45,67,2
45,70,2
45,75,2
45,90,2
45,107,2
45,116,2
45,118,2
46,35,2
47,4,2
47,8,2
47,35,2
48,2,2
48,4,2
48,8,2
48,15,2
48,17,2
48,28,2
48,30,2
48,42,2
48,90,2
48,107,2
48,157,2
49,8,2
49,27,2
49,53,2
49,56,2
49,75,2
50,2,2
50,14,2
50,33,2
50,53,2
50,70,2
50,87,2
50,114,2
50,118,2
50,146,2
51,14,2
51,23,2
51,28,2
51,31,2
51,53,2
51,58,2
51,61,2
51,81,2
51,100,2
51,106,2
51,107,2
51,146,2
52,8,2
52,14,2
52,28,2
52,31,2
52,45,2
52,51,2
52,106,2
52,107,2
53,0,2
53,2,2
53,8,2
53,10,2
53,15,2
53,18,2
53,23,2
53,31,2
53,35,2
53,41,2
53,43,2
53,45,2
53,60,2
53,63,2
53,65,2
53,74,2
53,75,2
53,96,2
53,107,2
54,2,2
54,4,2
54,8,2
54,14,2
54,17,2
54,23,2
54,24,2
54,28,2
54,30,2
54,31,2
54,35,2
54,64,2
54,69,2
54,107,2
54,157,2
55,2,2
55,4,2
55,5,2
55,8,2
55,11,2
55,17,2
55,27,2
55,42,2
55,64,2
55,69,2
55,71,2
55,112,2
55,157,2
56,1,2
56,2,2
56,5,2
56,10,2
56,13,2
56,18,2
56,45,2
56,53,2
56,65,2
57,1,2
57,2,2
57,4,2
57,5,2
57,13,2
57,18,2
57,20,2
57,27,2
57,45,2
57,56,2
57,65,2
57,67,2
57,80,2
57,81,2
57,90,2
57,107,2
57,149,2
58,4,2
58,5,2
58,8,2
58,12,2
58,27,2
58,29,2
58,30,2
58,36,2
58,41,2
58,47,2
58,54,2
58,67,2
58,82,2
58,148,2
58,150,2
58,153,2
59,0,2
59,2,2
59,3,2
59,4,2
59,5,2
59,8,2
59,12,2
59,18,2
59,29,2
59,36,2
59,51,2
59,67,2
59,90,2
59,107,2
59,127,2
59,150,2
59,153,2
60,3,2
60,4,2
60,5,2
60,8,2
60,12,2
60,29,2
60,36,2
60,53,2
60,67,2
